Date,Calories.Burned,Steps,Distance,Floors,Minutes.Sedentary,Minutes.Lightly.Active,Minutes.Fairly.Active,Minutes.Very.Active,Activity.Calories,Start.Time,End.Time,Minutes.Asleep,Minutes.Awake,Number.of.Awakenings,Time.in.Bed,Minutes.REM.Sleep,Minutes.Light.Sleep,Minutes.Deep.Sleep,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,date,start_time,end_time,timestamp_time,,,,
12/13/19,2211,8110,3.45,43,776,185,20,16,881,2019-12-14 3:27AM,2019-12-14 9:56AM,340,48,25,388,39,223,78,NA,75,17,22,36,77,59,0.071236559,NA,3:27:00,9:56:00,NA,,,,
12/12/19,1859,3212,1.37,27,892,10,0,0,29,2019-12-13 12:12AM,2019-12-13 7:35AM,371,72,29,443,77,224,70,12/13/19 7:35,75,20,19,36,69,58,0.137889688,12/13/19,12:12:00,7:35:00,7:35:00,,,,
12/11/19,2271,7902,3.67,42,990,0,0,0,0,2019-12-12 12:02AM,2019-12-12 7:15AM,366,67,23,433,70,209,87,12/12/19 7:15,75,19,21,35,87,58,0.110843373,12/12/19,12:02:00,7:15:00,7:15:00,,,,
12/10/19,2758,15133,6.49,56,1057,0,0,0,0,2019-12-11 12:17AM,2019-12-11 5:33AM,250,66,13,316,35,148,67,12/11/19 5:33,53,17,19,17,67,58,0.162295082,12/11/19,12:17:00,5:33:00,5:33:00,,,,
12/9/19,2130,6190,2.66,35,811,0,0,0,0,2019-12-10 12:06AM,2019-12-10 6:29AM,334,49,24,383,53,220,61,12/10/19 6:29,72,17,22,33,61,58,0.110821382,12/10/19,12:06:00,6:29:00,6:29:30,,,,
12/8/19,1823,3047,1.32,16,822,114,0,0,407,2019-12-08 11:07PM,2019-12-09 6:18AM,373,58,28,431,63,229,81,12/9/19 6:18,74,18,21,35,81,58,0.113557358,12/9/19,23:07:00,6:18:00,6:18:30,,,,
12/7/19,2040,4765,2.05,25,688,147,16,6,635,2019-12-07 11:19PM,2019-12-08 7:43AM,441,63,32,504,83,275,83,12/8/19 7:43,81,19,20,42,83,58,0.121243523,12/8/19,23:19:00,7:43:00,7:43:00,,,,
12/6/19,1964,4222,1.82,17,504,157,7,0,572,2019-12-07 1:37AM,2019-12-07 11:20AM,505,78,44,583,117,317,71,12/7/19 11:20,86,21,21,44,71,59,0.111396744,12/7/19,1:37:00,11:20:00,11:20:30,,,,
12/5/19,1964,3917,1.69,29,925,155,0,0,561,2019-12-06 12:07AM,2019-12-06 11:38AM,612,79,54,691,138,371,103,12/6/19 11:38,89,22,21,46,102,59,0.088691796,12/6/19,12:07:00,11:38:00,11:38:00,,,,
12/4/19,2156,6977,2.96,16,514,133,48,10,795,2019-12-05 2:52AM,2019-12-05 7:52AM,263,37,15,300,21,218,24,12/5/19 7:52,66,14,21,31,24,60,0.065602837,12/5/19,2:52:00,7:52:00,7:52:00,,,,
12/3/19,2659,13842,5.96,38,613,201,69,37,1395,2019-12-03 11:46PM,2019-12-04 10:02AM,538,78,44,616,120,315,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,23:46:00,10:02:00,NA,,,,
12/2/19,2277,8230,3.5,39,574,158,22,29,911,2019-12-03 1:06AM,2019-12-03 4:56AM,195,35,14,230,10,120,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,1:06:00,4:56:00,NA,,,,
12/1/19,2051,5647,2.31,39,1257,171,11,1,669,2019-12-01 11:23PM,2019-12-02 10:21AM,574,83,50,657,109,383,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,23:23:00,10:21:00,NA,,,,
11/30/19,1509,0,0,0,1440,0,0,0,0,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
11/29/19,2060,5616,2.42,10,1267,144,17,12,687,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
11/28/19,2088,5780,2.47,16,1231,209,0,0,747,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
11/27/19,2793,12362,5.31,28,633,298,41,39,1601,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Our data: https://docs.google.com/spreadsheets/d/1wlW12e-8t-EUfq43eAYj-z9zS9uuz17MWpylSg4B1BY/edit?usp=sharing ,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
11/26/19,2083,6271,2.63,27,620,164,7,3,679,2019-11-27 1:53AM,2019-11-27 9:02AM,377,52,26,429,97,176,104,11/27/19 9:02,82,22,23,37,104,59,0.075178998,11/27/19,1:53:00,9:02:00,9:02:30,,,,
11/25/19,2234,8262,3.56,16,473,127,53,24,907,2019-11-26 12:13AM,2019-11-26 10:59AM,563,83,53,646,133,316,114,11/26/19 10:59,87,23,18,46,114,57,0.110665597,11/26/19,12:13:00,10:59:00,10:59:00,,,,
11/24/19,2046,5722,2.46,14,1259,181,0,0,687,2019-11-24 10:33PM,2019-11-25 9:23AM,586,64,37,650,145,338,103,11/25/19 9:23,90,22,22,46,103,58,0.094117647,11/25/19,22:33:00,9:23:00,9:23:30,,,,
11/23/19,1902,5819,2.5,28,829,61,13,21,461,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
11/22/19,1837,4310,1.85,9,982,94,6,1,417,2019-11-23 1:38AM,2019-11-23 10:14AM,470,46,38,516,102,271,97,11/23/19 10:14,86,21,22,43,97,59,0.076847291,11/23/19,1:38:00,10:14:00,10:14:00,,,,
11/21/19,2807,18795,8.06,88,668,172,44,87,1527,2019-11-22 1:16AM,2019-11-22 7:14AM,289,68,19,357,71,159,59,11/22/19 7:14,59,20,17,22,58,60,0.156643357,11/22/19,1:16:00,7:14:00,7:14:00,,,,
11/20/19,2674,14303,6.19,57,368,192,80,37,1408,2019-11-20 10:50PM,2019-11-21 6:39AM,407,62,33,469,107,216,84,11/21/19 6:39,79,22,20,37,83,60,0.137380192,11/21/19,22:50:00,6:39:00,6:39:30,,,,
11/19/19,2135,7605,3.27,40,699,139,17,12,743,2019-11-19 10:30PM,2019-11-20 11:13AM,628,135,52,763,104,468,56,11/20/19 11:13,74,17,16,41,55,58,0.179436804,11/20/19,22:30:00,11:13:00,11:13:30,,,,
11/18/19,2386,10481,4.55,38,551,185,44,8,1033,2019-11-18 11:45PM,2019-11-19 9:19AM,488,85,41,573,52,329,107,11/19/19 9:19,79,17,18,44,107,58,0.088596491,11/19/19,23:45:00,9:19:00,9:19:00,,,,
11/17/19,2452,11248,4.8,64,543,227,10,29,1152,2019-11-17 10:47PM,2019-11-18 9:39AM,551,101,51,652,90,397,64,11/18/19 9:39,82,17,21,44,63,59,0.140587768,11/18/19,22:47:00,9:39:00,9:39:00,,,,
11/16/19,2296,8988,3.83,30,530,160,50,8,959,2019-11-16 10:27PM,2019-11-17 8:58AM,554,77,44,631,122,295,137,11/17/19 8:58,90,23,22,45,137,59,0.098795181,11/17/19,22:27:00,8:58:00,8:58:00,,,,
11/15/19,2711,11566,4.97,45,627,199,41,66,1454,2019-11-15 10:34PM,2019-11-16 10:06AM,596,96,35,692,178,296,122,11/16/19 10:06,88,23,22,43,121,58,0.099638989,11/16/19,22:34:00,10:06:00,10:06:30,,,,
11/14/19,1989,4195,1.81,20,588,157,0,0,572,2019-11-14 9:52PM,2019-11-15 6:19AM,445,62,48,507,65,299,81,11/15/19 6:19,79,17,20,42,81,58,0.123152709,11/15/19,21:52:00,6:19:00,6:19:30,,,,
11/13/19,2097,6333,2.72,30,581,132,25,19,700,2019-11-13 10:58PM,2019-11-14 8:26AM,502,66,53,568,77,307,118,11/14/19 8:26,86,19,21,46,118,57,0.106306306,11/14/19,22:58:00,8:26:00,8:26:00,,,,
11/12/19,2050,6891,2.96,34,486,119,13,25,653,2019-11-12 10:19PM,2019-11-13 7:34AM,498,57,46,555,87,351,60,11/13/19 7:34,85,18,21,46,60,57,0.120612061,11/13/19,22:19:00,7:34:00,7:34:30,,,,
11/11/19,1831,2842,1.18,6,725,111,0,0,373,2019-11-11 9:23PM,2019-11-12 8:38AM,604,71,35,675,178,320,106,11/12/19 8:38,89,22,22,45,106,57,0.10490566,11/12/19,21:23:00,8:38:00,8:38:00,,,,
11/10/19,2333,9402,4.05,40,548,179,32,19,951,2019-11-10 11:00PM,2019-11-11 9:04AM,511,93,49,604,83,316,112,11/11/19 9:04,84,19,21,44,111,59,0.125838926,11/11/19,23:00:00,9:04:00,9:04:00,,,,
11/9/19,1624,1279,0.55,2,919,21,0,0,62,2019-11-09 9:19PM,2019-11-10 8:21AM,515,147,21,662,96,356,63,11/10/19 8:21,75,17,18,40,62,57,0.115589354,11/10/19,21:19:00,8:21:00,8:21:30,,,,
11/8/19,2127,5578,2.4,24,779,210,0,0,727,2019-11-08 9:39PM,2019-11-09 5:59AM,423,77,30,500,118,245,60,11/9/19 5:59,84,21,22,41,60,58,0.085655315,11/9/19,21:39:00,5:59:00,5:59:00,,,,
11/7/19,2358,9242,3.94,63,787,233,6,1,981,2019-11-08 12:17AM,2019-11-08 7:49AM,392,59,34,451,69,244,79,11/8/19 7:49,76,18,21,37,79,58,0.140134529,11/8/19,12:17:00,7:49:00,7:49:00,,,,
11/6/19,2554,12757,5.46,42,557,175,95,16,1295,2019-11-06 11:41PM,2019-11-07 6:34AM,368,45,32,413,88,205,75,11/7/19 6:34,78,21,20,37,74,56,0.120797011,11/7/19,23:41:00,6:34:00,6:34:00,,,,
11/5/19,2024,4716,2.02,28,751,138,14,0,605,2019-11-05 10:49PM,2019-11-06 8:46AM,506,91,40,597,117,289,100,11/6/19 8:46,87,22,20,45,100,55,0.140488656,11/6/19,22:49:00,8:46:00,8:46:30,,,,
11/4/19,2022,4301,1.85,17,768,169,0,0,616,2019-11-04 9:45PM,2019-11-05 6:42AM,473,64,41,537,84,291,98,11/5/19 6:42,81,19,21,41,98,55,0.103286385,11/5/19,21:45:00,6:42:00,6:42:30,,,,
11/3/19,2563,12455,5.34,57,510,166,62,35,1187,2019-11-04 2:30AM,2019-11-04 10:53AM,431,72,28,503,72,290,69,11/4/19 10:53,80,17,22,41,69,57,0.093047035,11/4/19,2:30:00,10:53:00,10:53:30,,,,
11/2/19,2951,15521,6.66,73,462,248,110,37,1780,2019-11-02 9:57PM,2019-11-03 9:05AM,580,87,48,667,105,383,92,11/3/19 9:05,83,18,21,44,92,57,0.116104869,11/3/19,21:57:00,9:05:00,9:05:00,,,,
11/1/19,2590,11586,4.99,59,571,189,79,28,1328,2019-11-01 10:24PM,2019-11-02 8:07AM,504,79,43,583,60,342,102,11/2/19 8:07,83,17,21,45,101,58,0.109265734,11/2/19,22:24:00,8:07:00,8:07:30,,,,
10/31/19,2412,13101,5.65,57,748,178,35,35,1098,2019-11-01 2:56AM,2019-11-01 12:29PM,517,56,32,573,152,275,90,11/1/19 12:29,88,22,20,46,90,58,0.118570183,11/1/19,2:56:00,12:29:00,12:29:30,,,,
10/30/19,2607,13411,5.78,35,401,168,85,35,1320,2019-10-31 2:06AM,2019-10-31 9:30AM,374,70,16,444,59,275,40,10/31/19 9:30,72,17,19,36,40,58,0.148584906,10/31/19,2:06:00,9:30:00,9:30:30,,,,
10/29/19,1908,3416,1.47,35,452,101,7,11,472,2019-10-29 9:34PM,2019-10-30 10:05AM,635,116,50,751,130,415,90,10/30/19 10:05,83,20,20,43,90,58,0.112542373,10/30/19,21:34:00,10:05:00,10:05:30,,,,
10/28/19,2822,16628,7.15,70,618,326,37,7,1588,2019-10-28 11:38PM,2019-10-29 12:39PM,650,131,35,781,152,378,120,10/29/19 12:39,83,22,20,41,119,57,0.1215611,10/29/19,23:38:00,12:39:00,12:39:30,,,,
10/27/19,2632,12000,5.17,46,1139,222,45,34,1335,2019-10-28 12:06AM,2019-10-28 6:11AM,322,43,27,365,54,207,61,10/28/19 6:11,71,17,21,33,61,57,0.097127223,10/28/19,12:06:00,6:11:00,6:11:30,,,,
10/26/19,1655,1883,0.81,8,750,31,4,10,181,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
10/25/19,3030,16557,7.13,87,705,263,64,71,1876,2019-10-26 1:51AM,2019-10-26 12:37PM,557,88,35,645,121,339,97,10/26/19 12:37,85,21,20,44,97,55,0.110323089,10/26/19,1:51:00,12:37:00,12:37:00,,,,
10/24/19,1819,3522,1.51,22,1353,77,8,2,336,2019-10-25 12:06AM,2019-10-25 5:43AM,301,36,19,337,81,190,30,10/25/19 5:43,75,20,22,33,30,56,0.087423313,10/25/19,12:06:00,5:43:00,5:43:00,,,,
10/23/19,2430,12434,5.27,41,781,141,33,48,1123,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
10/22/19,2047,6629,2.84,35,769,141,14,9,639,2019-10-23 12:34AM,2019-10-23 6:01AM,292,35,22,327,58,184,50,10/23/19 6:01,74,19,23,32,50,58,0.090342679,10/23/19,12:34:00,6:01:00,6:01:30,,,,
10/21/19,2470,10341,4.43,41,688,231,45,4,1164,2019-10-21 11:32PM,2019-10-22 5:54AM,334,47,21,381,67,202,65,10/22/19 5:54,72,19,20,33,65,57,0.114023591,10/22/19,23:32:00,5:54:00,5:54:00,,,,
10/20/19,2498,11513,4.95,81,652,256,18,15,1230,2019-10-21 1:07AM,2019-10-21 8:59AM,412,60,44,472,68,274,70,10/21/19 8:59,77,17,21,39,69,59,0.12987013,10/21/19,1:07:00,8:59:00,8:59:00,,,,
10/19/19,2096,7975,3.36,35,1270,127,15,28,713,2019-10-20 12:53AM,2019-10-20 9:12AM,445,54,34,499,106,288,51,10/20/19 9:12,86,21,23,42,51,61,0.076374745,10/20/19,12:53:00,9:12:00,9:12:00,,,,
10/18/19,3245,20095,8.68,112,578,300,112,44,2086,2019-10-18 12:55AM,2019-10-18 7:41AM,357,49,26,406,94,211,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,12:55:00,7:41:00,NA,,,,
10/17/19,2236,7907,3.39,54,666,199,9,15,877,2019-10-16 10:53PM,2019-10-17 5:44AM,338,73,25,411,39,232,67,10/18/19 7:41,79,21,23,35,52,64,0.089790898,10/18/19,22:53:00,5:44:00,7:41:30,,,,
10/16/19,2529,11896,5.12,36,525,201,59,20,1254,,,NA,NA,NA,NA,NA,NA,NA,10/17/19 5:44,62,16,17,29,67,61,0.147023086,10/17/19,NA,NA,5:44:30,,,,
10/15/19,2512,10666,5.01,58,694,298,9,14,1248,00:04,10:39,551,84,43,635,111,328,112,10/16/19 10:39,88,21,22,45,112,63,0.089443997,10/16/19,0:04:00,10:39:00,10:39:30,,,,
10/14/19,3003,18430,8.65,78,368,291,61,50,1827,00:31,05:36,271,34,26,305,60,153,58,10/15/19 5:36,74,21,20,33,58,61,0.089983022,10/15/19,0:31:00,5:36:00,5:36:30,,,,
10/13/19,2763,14742,6.31,56,1084,253,78,25,1560,22:19,05:37,344,94,19,438,73,230,41,10/14/19 5:37,78,20,21,37,41,60,0.076817558,10/14/19,22:19:00,5:37:00,5:37:30,,,,
10/12/19,2924,17604,7.41,129,585,327,33,37,1710,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
10/11/19,3377,17585,8.33,98,462,332,66,82,2259,01:03,08:41,392,66,23,458,55,240,97,10/12/19 8:41,70,17,18,35,97,60,0.091603053,10/12/19,1:03:00,8:41:00,8:41:30,,,,
